SampleID;Ind;Rep;conidW;conidL;conidiophL;conidiophW;conidA;Pop;Ploidy
UZ_25.22(4)_R106;254;R1;2,078;4,515;13,978;1,635;7,805;cab;6x
UZ_25.22(4)_R107;254;R1;1,584;4,285;8,81;1,274;5,649;cab;6x
UZ_25.22(4)_R108;254;R1;2,055;4,478;8,605;1,9;7,489;cab;6x
UZ_25.22(4)_R109;254;R1;2,147;4,323;9,885;1,519;7,193;cab;6x
UZ_25.22(4)_R110;254;R1;2,167;4,889;12,169;1,919;8,201;cab;6x
UZ_25.22(4)_R201;254;R2;1,99;4,657;8,812;1,937;7,717;cab;6x
UZ_25.22(4)_R202;254;R2;1,974;4,611;12,116;1,495;7,209;cab;6x
UZ_25.22(4)_R203;254;R2;2,166;5,163;14,611;1,659;8,613;cab;6x
UZ_25.22(4)_R204;254;R2;2,108;4,315;13,378;1,623;6,749;cab;6x
UZ_25.22(4)_R205;254;R2;2,29;4,409;11,545;1,678;7,509;cab;6x
UZ_25.22(4)_R206;254;R2;2,079;4,38;16,311;1,848;7,625;cab;6x
UZ_25.22(4)_R207;254;R2;2,247;4,644;15,203;1,739;7,765;cab;6x
UZ_25.22(4)_R208;254;R2;2,127;4,679;12,65;1,718;7,641;cab;6x
UZ_25.22(4)_R209;254;R2;2,306;4,343;12,706;1,953;7,553;cab;6x
UZ_25.22(4)_R210;254;R2;2,148;4,886;12,215;1,79;8,001;cab;6x
UZ_25.22(4)_R301;254;R3;1,936;4,255;11,307;2,198;7,049;cab;6x
UZ_25.22(4)_R302;254;R3;2;4,865;11,66;2,433;8,189;cab;6x
UZ_25.22(4)_R303;254;R3;1,847;4,478;14,874;2,424;6,737;cab;6x
UZ_25.22(4)_R304;254;R3;1,712;4,814;16,089;2,812;7,613;cab;6x
UZ_25.22(4)_R305;254;R3;2;4,255;16,528;2,128;6,925;cab;6x
UZ_25.22(4)_R306;254;R3;1,762;4,872;8,207;2,765;7,273;cab;6x
UZ_25.22(4)_R307;254;R3;1,781;3,877;11,609;2,177;6,061;cab;6x
UZ_25.22(4)_R308;254;R3;1,931;4,502;11,043;2,331;5,953;cab;6x
UZ_25.22(4)_R309;254;R3;1,721;4,442;13,767;2,581;6,813;cab;6x
UZ_25.22(4)_R310;254;R3;1,974;4,81;10,041;1,922;7,237;cab;6x
UZ_15.23(2)_R101;152;R1;1,959;4,707;11,745;1,529;8,265;can;8x
UZ_15.23(2)_R102;152;R1;1,931;4,594;13,033;1,353;7,225;can;8x
UZ_15.23(2)_R103;152;R1;2,009;4,24;11,995;1,508;5,829;can;8x
UZ_15.23(2)_R104;152;R1;1,671;4,099;13,371;1,713;6,053;can;8x
UZ_15.23(2)_R105;152;R1;2,005;3,695;9,015;1,293;6,021;can;8x
UZ_15.23(2)_R106;152;R1;1,951;4,755;12,98;1,563;7,089;can;8x
UZ_15.23(2)_R107;152;R1;1,872;4,339;9,783;1,801;5,921;can;8x
UZ_15.23(2)_R108;152;R1;1,557;4,16;16,517;1,884;5,473;can;8x
UZ_15.23(2)_R109;152;R1;1,782;3,872;10,494;1,634;5,381;can;8x
UZ_15.23(2)_R110;152;R1;1,744;4,788;13,277;1,83;7,025;can;8x
UZ_15.23(2)_R201;152;R2;2,075;4,529;12,958;1,876;7,417;can;8x
UZ_15.23(2)_R202;152;R2;2,078;4,064;12,573;1,582;6,245;can;8x
UZ_15.23(2)_R203;152;R2;2,084;4,243;9,74;1,165;7,557;can;8x
UZ_15.23(2)_R204;152;R2;1,768;4,443;8,807;1,526;7,709;can;8x
UZ_15.23(2)_R205;152;R2;1,991;4,407;12,979;2,142;6,765;can;8x
UZ_15.23(2)_R206;152;R2;2,108;4,412;9,855;1,663;8,221;can;8x
UZ_15.23(2)_R207;152;R2;2,105;4,358;11,296;1,207;7,317;can;8x
UZ_15.23(2)_R208;152;R2;2,362;4,728;12,783;1,561;8,501;can;8x
UZ_15.23(2)_R209;152;R2;2,017;4,333;9,865;1,574;6,893;can;8x
UZ_15.23(2)_R210;152;R2;2,108;4,437;11,324;1,894;8,021;can;8x
UZ_15.23(2)_R301;152;R3;1,8;4,42;8,871;2,456;8,013;can;8x
UZ_15.23(2)_R302;152;R3;1,581;3,762;10,105;2,38;6,133;can;8x
UZ_15.23(2)_R303;152;R3;2,037;4,302;15,899;2,112;7,461;can;8x
UZ_15.23(2)_R304;152;R3;1,986;4,702;13,202;2,368;8,773;can;8x
UZ_15.23(2)_R305;152;R3;2,049;4,43;14,198;2,162;7,737;can;8x
UZ_15.23(2)_R306;152;R3;1,985;4,357;10,876;2,195;7,441;can;8x
UZ_15.23(2)_R307;152;R3;2,21;4,387;10,349;1,985;8,377;can;8x
UZ_15.23(2)_R308;152;R3;2,01;4,815;15,629;2,396;8,145;can;8x
UZ_15.23(2)_R309;152;R3;2,072;4,198;9,532;2,026;7,125;can;8x
UZ_15.23(2)_R310;152;R3;2,112;4,326;13,89;2,373;7,449;can;8x
UZ_15.23(5)_R101;155;R1;2,265;4,592;8,179;1,15;8,585;can;8x
UZ_15.23(5)_R102;155;R1;2,212;4,389;14,1;1,557;5,767;can;8x
UZ_15.23(5)_R103;155;R1;2,053;4,549;12,536;1,759;6,729;can;8x
UZ_15.23(5)_R104;155;R1;2,216;4,562;10,458;1,44;5,569;can;8x
UZ_15.23(5)_R105;155;R1;2,018;4,283;11,916;1,686;6,725;can;8x
UZ_15.23(5)_R106;155;R1;2,41;4,612;10,378;1,789;8,205;can;8x
UZ_15.23(5)_R107;155;R1;1,961;4,794;14,967;1,879;7,065;can;8x
UZ_15.23(5)_R108;155;R1;1,997;3,804;13,409;2,021;6,149;can;8x
UZ_15.23(5)_R109;155;R1;2,012;4,693;12,894;1,607;8,121;can;8x
UZ_15.23(5)_R110;155;R1;2,121;4,658;11,704;1,709;7,213;can;8x
UZ_15.23(5)_R201;155;R2;2,234;4,521;18,083;1,779;7,833;can;8x
UZ_15.23(5)_R202;155;R2;2,07;4,661;12,429;1,524;7,329;can;8x
UZ_15.23(5)_R203;155;R2;1,973;4,142;15,863;1,971;6,541;can;8x
UZ_15.23(5)_R204;155;R2;2,24;4,806;15,73;1,567;8,441;can;8x
UZ_15.23(5)_R205;155;R2;2,336;4,493;11,33;1,642;8,073;can;8x
UZ_15.23(5)_R206;155;R2;2,12;4,433;7,662;1,195;7,057;can;8x
UZ_15.23(5)_R207;155;R2;2,287;4,24;15,269;1,742;7,989;can;8x
UZ_15.23(5)_R208;155;R2;2,314;4,575;15,237;1,65;8,269;can;8x
UZ_15.23(5)_R209;155;R2;1,938;4,516;15,129;1,696;7,317;can;8x
UZ_15.23(5)_R210;155;R2;2,143;4,579;10,057;1,734;7,813;can;8x
UZ_15.23(5)_R301;155;R3;1,839;4,283;16,723;2,329;6,913;can;8x
UZ_15.23(5)_R302;155;R3;2,164;5,087;9,688;2,351;9,326;can;8x
UZ_15.23(5)_R303;155;R3;2,053;5,089;9,605;2,479;9,454;can;8x
UZ_15.23(5)_R304;155;R3;1,733;4,153;14,569;2,396;7,421;can;8x
UZ_15.23(5)_R305;155;R3;1,669;4,168;12,631;2,497;7,489;can;8x
UZ_15.23(5)_R306;155;R3;1,918;4,194;15,116;2,187;8,029;can;8x
UZ_15.23(5)_R307;155;R3;2;4,122;14,411;2,061;6,925;can;8x
UZ_15.23(5)_R308;155;R3;2,21;4,752;9,385;2,15;8,969;can;8x
UZ_15.23(5)_R309;155;R3;2,184;4,922;15,906;2,254;9,686;can;8x
UZ_15.23(5)_R310;155;R3;2,151;4,879;13,247;1,635;8,685;can;8x
UZ_15.23(10)_R101;1510;R1;2,016;4,657;11,784;1,704;7,333;can;8x
UZ_15.23(10)_R102;1510;R1;1,788;4,362;11,501;1,86;6,093;can;8x
UZ_15.23(10)_R103;1510;R1;2,031;4,25;9,054;1,398;5,441;can;8x
UZ_15.23(10)_R104;1510;R1;2,284;4,426;10,522;1,381;7,253;can;8x
UZ_15.23(10)_R105;1510;R1;2,041;4,644;9,058;1,568;6,845;can;8x
UZ_15.23(10)_R106;1510;R1;2,169;4,746;8,885;1,228;7,437;can;8x
UZ_15.23(10)_R107;1510;R1;2,101;5,014;14,151;1,324;7,725;can;8x
UZ_15.23(10)_R108;1510;R1;2,099;4,709;13,808;1,546;7,701;can;8x
UZ_15.23(10)_R109;1510;R1;2,269;4,729;9,559;1,31;8,133;can;8x
UZ_15.23(10)_R110;1510;R1;1,928;4,087;10,816;1,772;5,837;can;8x
UZ_15.23(10)_R201;1510;R2;1,734;4,401;14,998;1,721;6,273;can;8x
UZ_15.23(10)_R202;1510;R2;2,2;4,94;15,975;2,29;7,945;can;8x
UZ_15.23(10)_R203;1510;R2;2,127;4,751;11,057;1,416;7,101;can;8x
UZ_15.23(10)_R204;1510;R2;1,976;4,354;11,908;1,589;6,513;can;8x
UZ_15.23(10)_R205;1510;R2;1,997;4,444;16,55;1,704;6,905;can;8x
UZ_15.23(10)_R206;1510;R2;2,129;4,529;8,943;1,742;7,033;can;8x
UZ_15.23(10)_R207;1510;R2;2,141;4,715;8,636;1,486;7,645;can;8x
UZ_15.23(10)_R208;1510;R2;2,019;4,828;13,672;2;7,505;can;8x
UZ_15.23(10)_R209;1510;R2;2,266;4,481;15,202;2,185;8,109;can;8x
UZ_15.23(10)_R210;1510;R2;2,108;4,861;12,523;1,616;7,261;can;8x
UZ_15.23(10)_R301;1510;R3;2,114;5,102;11,425;2,413;8,657;can;8x
UZ_15.23(10)_R302;1510;R3;2,333;5,745;16,337;2,462;9,878;can;8x
UZ_15.23(10)_R303;1510;R3;2,197;5,475;15,85;2,492;9,578;can;8x
UZ_15.23(10)_R304;1510;R3;2,328;5,725;8,976;2,459;9,854;can;8x
UZ_15.23(10)_R305;1510;R3;2,238;4,971;13,808;2,221;8,361;can;8x
UZ_15.23(10)_R306;1510;R3;1,835;4,264;10,634;2,324;7,245;can;8x
UZ_15.23(10)_R307;1510;R3;2,292;4,723;9,087;2,061;8,825;can;8x
UZ_15.23(10)_R308;1510;R3;1,695;4,941;10,913;2,915;7,693;can;8x
UZ_15.23(10)_R309;1510;R3;1,702;4,32;10,369;2,538;6,113;can;8x
UZ_15.23(10)_R310;1510;R3;1,65;4,143;10,088;1,792;6,209;can;8x
UZ_15.23(11)_R101;1511;R1;2,266;4,353;13,467;1,395;6,401;can;8x
UZ_15.23(11)_R102;1511;R1;2,178;4,287;14,828;2,207;7,457;can;8x
UZ_15.23(11)_R103;1511;R1;2,23;4,791;12,953;1,804;7,817;can;8x
UZ_15.23(11)_R104;1511;R1;2,158;4,356;10,596;1,617;5,821;can;8x
UZ_15.23(11)_R105;1511;R1;2,284;4,851;13,211;1,584;8,365;can;8x
UZ_15.23(11)_R106;1511;R1;2,044;4,083;10,499;1,813;5,837;can;8x
UZ_15.23(11)_R107;1511;R1;2,326;4,536;9,574;1,418;7,801;can;8x
UZ_15.23(11)_R108;1511;R1;2,132;4,987;12,579;1,654;6,817;can;8x
UZ_15.23(11)_R109;1511;R1;2,424;4,47;13,297;2,069;7,133;can;8x
UZ_15.23(11)_R110;1511;R1;2,391;5,217;10,376;1,905;7,437;can;8x
UZ_15.23(11)_R201;1511;R2;2,26;4,321;12,357;1,561;7,457;can;8x
UZ_15.23(11)_R202;1511;R2;2,171;5,194;10,964;1,725;9,017;can;8x
UZ_15.23(11)_R203;1511;R2;1,835;3,88;11,974;1,642;4,877;can;8x
UZ_15.23(11)_R204;1511;R2;1,947;4,333;9,42;1,448;5,801;can;8x
UZ_15.23(11)_R205;1511;R2;2,175;4,122;11,27;1,193;6,317;can;8x
UZ_15.23(11)_R206;1511;R2;2,535;4,603;9,003;1,562;8,485;can;8x
UZ_15.23(11)_R207;1511;R2;2,092;4,422;12,697;1,66;7,973;can;8x
UZ_15.23(11)_R208;1511;R2;2,182;4,598;8,743;1,4;7,777;can;8x
UZ_15.23(11)_R209;1511;R2;2,254;4,52;12,601;1,954;7,405;can;8x
UZ_15.23(11)_R210;1511;R2;2,156;4,329;9,522;1,396;6,593;can;8x
UZ_15.23(11)_R301;1511;R3;1,714;3,889;5,719;2,269;7,121;can;8x
UZ_15.23(11)_R302;1511;R3;1,601;3,941;8,123;2,462;7,969;can;8x
UZ_15.23(11)_R303;1511;R3;1,844;4,067;9,8;2,206;6,369;can;8x
UZ_15.23(11)_R304;1511;R3;1,959;3,808;8,998;1,944;5,773;can;8x
UZ_15.23(11)_R305;1511;R3;2,132;3,943;9,247;1,849;6,609;can;8x
UZ_15.23(11)_R306;1511;R3;1,79;4,063;8,528;2,27;6,397;can;8x
UZ_15.23(11)_R307;1511;R3;2,027;3,81;10,75;1,88;7,809;can;8x
UZ_15.23(11)_R308;1511;R3;1,872;4,535;9,046;2,423;7,577;can;8x
UZ_15.23(11)_R309;1511;R3;1,681;4,144;12,969;2,465;6,977;can;8x
UZ_15.23(11)_R310;1511;R3;1,933;4,272;15,514;1,265;6,793;can;8x
